QuestionText|OptionA|OptionB|OptionC|OptionD|CorrectAnswer
What is the basic unit of life?|Tissue|Organ|Cell|Organism|C
Which gas is essential for photosynthesis?|Carbon dioxide|Oxygen|Nitrogen|Hydrogen|A
Which part of the plant carries out photosynthesis?|Root|Stem|Leaf|Flower|C
What is the powerhouse of the cell?|Nucleus|Mitochondria|Ribosome|Chloroplast|B
Which vitamin is produced in the skin by sunlight?|Vitamin C|Vitamin D|Vitamin A|Vitamin K|B
What is the function of red blood cells?|Defense|Transport oxygen|Clot blood|Digest food|B
Which organ pumps blood in the human body?|Lungs|Brain|Heart|Kidney|C
What is the normal body temperature of humans?|36 C|37 C|38 C|35 C|B
Which blood group is known as the universal donor?|A|B|AB|O|D
Which part of the plant absorbs water and minerals?|Stem|Root|Leaf|Flower|B
What is the green pigment in plants called?|Chlorophyll|Haemoglobin|Melanin|Carotene|A
Which organ controls all body activities?|Heart|Brain|Liver|Lungs|B
Which part of the cell contains genetic material?|Cytoplasm|Nucleus|Membrane|Ribosome|B
Which system helps in movement of the body?|Respiratory system|Nervous system|Muscular system|Digestive system|C
Which gas do humans exhale during respiration?|Oxygen|Carbon dioxide|Nitrogen|Helium|B
Which part of the plant is responsible for reproduction?|Root|Stem|Flower|Leaf|C
What is the largest organ in the human body?|Heart|Liver|Skin|Lungs|C
What type of blood cells fight infection?|Red blood cells|White blood cells|Platelets|Plasma|B
Which part of the brain controls balance?|Cerebrum|Cerebellum|Medulla|Thalamus|B
Which organ removes waste from blood?|Heart|Kidney|Lungs|Liver|B
What is the main function of the lungs?|Pump blood|Filter urine|Exchange gases|Digest food|C
Which is the structural and functional unit of the kidney?|Neuron|Alveolus|Nephron|Villus|C
Which part of the digestive system absorbs nutrients?|Stomach|Large intestine|Small intestine|Rectum|C
Which vitamin helps in blood clotting?|Vitamin C|Vitamin D|Vitamin K|Vitamin B|C
Which blood cells help in clotting?|RBCs|WBCs|Platelets|Plasma|C
Which organ stores bile?|Pancreas|Gall bladder|Liver|Kidney|B
What is the process by which plants lose water?|Osmosis|Diffusion|Transpiration|Evaporation|C
Which organ produces insulin?|Liver|Pancreas|Stomach|Gall bladder|B
Which part of the cell controls its activities?|Nucleus|Mitochondria|Chloroplast|Ribosome|A
What is the study of heredity called?|Ecology|Genetics|Anatomy|Cytology|B
Which blood group is known as the universal recipient?|A|B|AB|O|C
What carries oxygen in the blood?|Plasma|Haemoglobin|Platelets|WBCs|B
Which organ in the human body produces bile?|Liver|Pancreas|Kidney|Stomach|A
What type of joint is found in the shoulder?|Fixed joint|Ball and socket|Hinge|Pivot|B
Which part of the eye controls the amount of light entering?|Cornea|Iris|Lens|Retina|B
What is the largest bone in the human body?|Fibula|Femur|Humerus|Tibia|B
What is the process of cell division in body cells called?|Meiosis|Fertilization|Mitosis|Cloning|C
Which part of the plant anchors it in the soil?|Stem|Root|Leaf|Flower|B
Which organ produces urea?|Liver|Kidney|Lungs|Heart|A
Which organ detoxifies harmful substances in the body?|Pancreas|Liver|Kidney|Lungs|B
What are the building blocks of proteins?|Fatty acids|Amino acids|Nucleic acids|Sugars|B
What type of reproduction involves only one parent?|Asexual|Sexual|Binary fusion|Fertilization|A
What is the function of chlorophyll in plants?|Transport water|Absorb sunlight|Store food|Absorb oxygen|B
Which animal group lays eggs?|Mammals|Reptiles|Amphibians|Both B and C|D
Which part of the neuron carries impulses away from the cell body?|Dendrite|Axon|Synapse|Myelin|B
What type of cell division produces gametes?|Mitosis|Meiosis|Binary fission|Fragmentation|B
Which process releases energy from food in cells?|Digestion|Photosynthesis|Respiration|Fermentation|C
What is the scientific study of fungi called?|Zoology|Mycology|Botany|Ecology|B
Which gas is taken in by plants during photosynthesis?|Oxygen|Carbon dioxide|Nitrogen|Hydrogen|B
