QuestionText|OptionA|OptionB|OptionC|OptionD|CorrectAnswer
What is 5 + 7?|10|11|12|13|C
What is 9 * 6?|45|52|54|64|C
What is 25 / 5?|4|5|6|7|B
What is 15 - 8?|6|7|8|9|B
What is the square of 9?|18|81|90|99|B
What is the cube of 3?|6|9|12|27|D
Simplify: 8 + (6 * 2)|20|18|16|12|A
What is half of 100?|25|40|50|75|C
Find 25 percent of 80.|15|18|20|25|C
What is the value of pi approx?|2.14|3.14|4.14|3.41|B
What is 0.5 + 0.25?|0.6|0.7|0.75|0.8|C
What is 2^2 + 3^2?|9|10|12|13|B
Simplify: (10 - 4) * 3|12|16|18|24|C
What is 3/4 of 100?|25|50|75|80|C
If x = 5 find 2x + 3.|10|12|13|14|C
What is 10 percent of 200?|10|15|20|25|C
What is the smallest prime number?|1|2|3|5|B
What is 7 * 8?|54|56|58|64|B
What is 81 / 9?|7|8|9|10|C
Simplify: 12 + 15 - 7?|18|20|22|24|B
Find the average of 4 8 and 12.|6|8|10|12|B
What is the perimeter of a square with side 5?|10|15|20|25|C
What is the area of a rectangle 4m * 6m?|10|12|20|24|D
Find the missing number 5 10 15 ? 25.|18|20|22|24|B
What is the next prime after 7?|8|9|10|11|D
Simplify: 100 - (25 + 15)|50|55|60|65|C
What is 2^3?|4|6|8|9|C
Convert 1/2 into decimal.|0.2|0.25|0.4|0.5|D
What is 9^2 - 7^2?|18|28|32|36|B
If 4 pencils cost Rs20 how much for 10 pencils?|40|45|50|55|C
Simplify: (5 * 4) / 2|8|10|12|14|B
Find the mode of 2 3 3 4 5.|2|3|4|5|B
Find the median of 2 4 6 8 10.|4|6|8|10|B
What is 0.25 * 4?|0.5|1|2|3|B
Simplify: 6^2 + 4^2?|36|40|48|52|C
What is the value of sqrt(49)?|5|6|7|8|C
Which of the following is even?|11|13|15|16|D
What is 1/4 of 60?|10|12|15|20|C
Find the missing number 3 6 12 24 ?|36|40|42|48|D
Simplify: 3 + 6 * 2?|15|18|12|21|A
If a = 2 and b = 3 find a^2 + b^2.|10|11|12|13|B
What is 8 percent of 200?|8|12|14|16|D
What is the sum of angles in a triangle?|90 deg|120 deg|180 deg|360 deg|C
How many sides does a hexagon have?|5|6|7|8|B
Find the area of a square with side 8.|32|48|56|64|D
Simplify: 15 / 3 + 2?|5|6|7|8|C
If 12 pens cost Rs60 cost of one pen = ?|Rs3|Rs4|Rs5|Rs6|C
What is 7 * (5 + 3)?|35|40|49|56|D
Convert 0.75 to a fraction.|1/2|3/4|2/3|1/3|B
What is the remainder when 17 is divided by 5?|1|2|3|4|B
Find the next number 2 4 8 16 ?|20|24|32|40|C
