QuestionText|OptionA|OptionB|OptionC|OptionD|CorrectAnswer
What is the symbol of Sodium?|So|Sn|Na|S|C
What is the atomic number of Carbon?|12|6|8|7|B
Which is the lightest element?|Oxygen|Hydrogen|Helium|Nitrogen|B
What is the chemical formula of water?|H2O2|H2O|HO2|H3O|B
Which gas is known as laughing gas?|CO2|NO2|N2O|SO2|C
What is the chemical symbol of Gold?|Gd|Au|Ag|Ga|B
Which element is needed for respiration?|Nitrogen|Carbon dioxide|Oxygen|Hydrogen|C
The atomic number represents the number of?|Neutrons|Electrons|Protons|Molecules|C
Which of these is a noble gas?|Oxygen|Nitrogen|Argon|Hydrogen|C
What is the pH of pure water at 25C?|0|7|14|5|B
Which acid is found in lemons?|Tartaric acid|Citric acid|Acetic acid|Formic acid|B
Which element has the chemical symbol Fe?|Fluorine|Iron|Fermium|Francium|B
What is the chemical formula of common salt?|Na2CO3|NaCl|KCl|NaOH|B
Which metal is liquid at room temperature?|Mercury|Iron|Copper|Aluminum|A
Which gas is used in photosynthesis?|Oxygen|Nitrogen|Carbon dioxide|Hydrogen|C
Which element is used in pencils?|Carbon|Graphite|Lead|Tin|B
The process of solid changing to gas is called?|Evaporation|Condensation|Sublimation|Melting|C
Which gas is used to fill balloons?|Oxygen|Helium|Hydrogen|Nitrogen|B
The smallest particle of an element is called?|Atom|Molecule|Proton|Electron|A
Which acid is found in vinegar?|Formic acid|Sulfuric acid|Acetic acid|Hydrochloric acid|C
What is the formula of ammonia?|NH4|NH3|NO2|N2H4|B
Which of the following is a halogen?|Neon|Fluorine|Argon|Oxygen|B
What is the symbol for Potassium?|P|Po|K|Pt|C
Which gas is produced during respiration?|Oxygen|Carbon dioxide|Hydrogen|Nitrogen|B
Which particle has no charge?|Electron|Proton|Neutron|Ion|C
The chemical formula of methane is?|CH4|C2H6|C3H8|CH3OH|A
Which acid is used in car batteries?|Nitric acid|Sulfuric acid|Hydrochloric acid|Phosphoric acid|B
Which element is most abundant in Earth's crust?|Iron|Aluminum|Oxygen|Calcium|C
Which gas turns lime water milky?|Hydrogen|Oxygen|Carbon dioxide|Nitrogen|C
Which of these is a chemical change?|Melting of ice|Boiling of water|Rusting of iron|Breaking of glass|C
Which element is essential for bones and teeth?|Iron|Calcium|Sodium|Potassium|B
The process of separating liquids by boiling and condensing is called?|Filtration|Distillation|Sedimentation|Crystallization|B
Which gas supports combustion?|Carbon dioxide|Nitrogen|Oxygen|Hydrogen|C
Which element is used in making bulbs?|Argon|Neon|Helium|Krypton|A
What is the atomic number of Oxygen?|6|7|8|9|C
Which metal is most reactive?|Gold|Iron|Sodium|Copper|C
The atomic mass unit is based on which element?|Hydrogen|Carbon-12|Oxygen|Helium|B
What is the chemical symbol of Silver?|Si|Ag|Sg|Sr|B
Which process is used to purify water using heat?|Filtration|Distillation|Decantation|Sedimentation|B
Which gas is used in fire extinguishers?|Nitrogen|Oxygen|Carbon dioxide|Hydrogen|C
What is the common name of NaHCO3?|Baking powder|Washing soda|Baking soda|Caustic soda|C
Which of the following is a mixture?|Water|Air|Sodium chloride|Oxygen|B
Which element is a non-metal?|Copper|Sulfur|Zinc|Mercury|B
Which acid is produced in the stomach?|Nitric acid|Hydrochloric acid|Sulfuric acid|Acetic acid|B
Which gas causes the greenhouse effect?|Hydrogen|Carbon dioxide|Oxygen|Nitrogen|B
What is the symbol of Chlorine?|Cl|Ch|Cr|C|A
Which of the following is an alkali metal?|Calcium|Magnesium|Sodium|Iron|C
The process of rusting requires?|Water and oxygen|Carbon dioxide only|Sunlight only|Water only|A
Which metal is used for making jewelry?|Copper|Silver|Lead|Zinc|B
Which of the following is not a compound?|Water|Oxygen|Salt|Sugar|B
