QuestionText|OptionA|OptionB|OptionC|OptionD|CorrectAnswer
What is the synonym of "Happy"? | Sad | Joyful | Angry | Tired | B
Choose the correct spelling. | Recieve | Receive | Recive | Receeve | B
Which word is an adjective? | Beautiful | Dance | Quickly | Friend | A
What is the antonym of "Cold"? | Hot | Cool | Warm | Freeze | A
Which of the following is a noun? | Run | Happiness | Quickly | Jump | B
Which is a verb? | Table | Run | Happiness | Blue | B
What is the synonym of "Brave"? | Cowardly | Fearful | Courageous | Weak | C
Identify the adverb in the sentence "She sang beautifully." | Sang | Beautifully | She | None | B
Which of these is a pronoun? | Quick | They | Dog | Green | B
What is the opposite of "Start"? | Begin | Go | End | Move | C
What is the plural of "Mouse"? | Mouses | Mices | Mice | Mouse | C
Choose the correct article "___ apple a day keeps the doctor away." | A | An | The | No article | B
What is the past tense of "Go"? | Goed | Went | Gone | Going | B
What is the antonym of "Rich"? | Wealthy | Poor | Famous | Strong | B
Which is a conjunction? | And | Beautiful | Quickly | Table | A
What is the synonym of "Fast"? | Slow | Rapid | Lazy | Dull | B
What is the correct comparative form of "Big"? | Bigger | Biggest | More big | Most big | A
What is the opposite of "Success"? | Failure | Progress | Win | Growth | A
Choose the correct preposition "He is afraid ___ the dark." | of | in | at | for | A
Which word is a noun? | Beautiful | Honesty | Run | Quickly | B
Choose the correct tense "She ___ to school every day." | go | goes | gone | going | B
Which sentence is correct? | He go to school. | He goes to school. | He going school. | He gone school. | B
What is the synonym of "Begin"? | Start | End | Stop | Finish | A
Find the antonym of "Hardworking". | Lazy | Busy | Tired | Active | A
Choose the correct word "He is ___ university student." | a | an | the | no article | B
What is the plural of "Child"? | Childs | Children | Childrens | Childes | B
Choose the correct word "She is taller ___ her brother." | then | than | to | from | B
Identify the verb "The baby cries loudly." | baby | cries | loudly | the | B
Which word is a preposition? | Quickly | Under | Happy | Beautiful | B
What is the antonym of "Difficult"? | Easy | Hard | Tough | Rough | A
What is the synonym of "Angry"? | Calm | Furious | Kind | Happy | B
What is the plural of "Book"? | Book | Books | Bookes | Bookies | B
Choose the correct spelling. | Definately | Definitely | Definetly | Defanitely | B
What is the opposite of "Old"? | Young | Elder | Ancient | Adult | A
Which of the following is an adjective? | Quickly | Quick | Run | Smile | B
What is the synonym of "Intelligent"? | Clever | Dull | Weak | Lazy | A
Which is a question tag for "He is coming," ? | is he | isnt he | does he | was he | B
Choose the correct form "They ___ playing cricket now." | was | were | are | is | C
What is the plural of "Leaf"? | Leafs | Leaves | Leavs | Leafes | B
What is the antonym of "Clean"? | Dirty | Pure | Clear | Neat | A
Which is the correct sentence? | She dont like tea. | She doesnt like tea. | She didnt likes tea. | She no like tea. | B
What is the synonym of "Quiet"? | Silent | Noisy | Loud | Talkative | A
Choose the correct preposition "He sat ___ the chair." | in | on | at | over | B
Identify the noun "The sun rises in the east." | rises | sun | in | east | B
What is the opposite of "Strong"? | Weak | Powerful | Bold | Brave | A
What is the plural of "Man"? | Mans | Men | Manes | Mennes | B
Which word is a pronoun? | Happy | They | Quick | Strong | B
What is the synonym of "Pretty"? | Ugly | Beautiful | Tall | Dark | B
What is the antonym of "Open"? | Shut | Close | Lock | Seal | B
Choose the correct spelling. | Adress | Address | Adreess | Aderss | B
Which of these is an adverb? | Slowly | Beautiful | Dance | Song | A
