QuestionText|OptionA|OptionB|OptionC|OptionD|CorrectAnswer
What is the SI unit of force? | Joule | Pascal | Newton | Watt | C
What is the speed of light in vacuum? | 3x10^6 m/s | 3x10^8 m/s | 3x10^10 m/s | 3x10^5 m/s | B
Which physical quantity is measured in Joules? | Power | Work | Force | Pressure | B
Which law states that Every action has an equal and opposite reaction? | Newton First Law | Newton Second Law | Newton Third Law | Law of Gravitation | C
What is the acceleration due to gravity on Earth? | 8.9 m/s2 | 10 m/s2 | 9.8 m/s2 | 9.0 m/s2 | C
Which instrument is used to measure electric current? | Voltmeter | Barometer | Ammeter | Thermometer | C
What type of lens is used in a magnifying glass? | Concave | Convex | Plano concave | Cylindrical | B
Which quantity is a scalar? | Force | Velocity | Acceleration | Mass | D
What is the SI unit of power? | Watt | Newton | Joule | Volt | A
Which subatomic particle has a negative charge? | Proton | Electron | Neutron | Positron | B
What does Ohm law state? | V = I R | I = V R | P = I V | V = I/R | A
The rate of change of velocity is called? | Displacement | Force | Acceleration | Centripetal force | C
Which color of light has the highest frequency? | Red | Blue | Green | Violet | D
What is the unit of electric resistance? | Coulomb | Ohm | Ampere | Henry | B
The device used to convert AC to DC is called? | Transformer | Rectifier | Generator | Motor | B
Which type of mirror is used in a car rear view mirror? | Plane | Concave | Convex | Cylindrical | C
The work done is zero when the force is? | Parallel | Opposite | Perpendicular | At an angle | C
Which physical quantity is measured in Hertz? | Frequency | Energy | Wavelength | Current | A
The energy stored in a stretched spring is called? | Kinetic | Potential | Elastic potential | Mechanical | C
What is the formula for kinetic energy? | 1/2 m v | 1/2 m v2 | m v2 | m g h | B
What is the SI unit of pressure? | Newton | Joule | Pascal | Watt | C
Which of the following is a vector quantity? | Speed | Mass | Time | Velocity | D
Sound cannot travel through? | Solid | Liquid | Gas | Vacuum | D
Which wave does not require a medium? | Sound | Water | Light | Seismic | C
What is the speed of sound in air approximately? | 330 m/s | 3000 m/s | 1500 m/s | 3x10^8 m/s | A
What is the unit of charge? | Ohm | Coulomb | Ampere | Farad | B
The potential difference between two points is measured in? | Coulomb | Ampere | Volt | Watt | C
Who discovered the law of gravitation? | Newton | Einstein | Galileo | Faraday | A
Which of the following is not a form of energy? | Kinetic | Potential | Friction | Chemical | C
Which instrument measures atmospheric pressure? | Thermometer | Barometer | Ammeter | Manometer | B
Which planet has the strongest gravity? | Mars | Earth | Jupiter | Venus | C
The time period of a pendulum depends on? | Mass | Length | Amplitude | Force | B
A body moving in a circle experiences? | Linear motion | Random motion | Centripetal force | No force | C
Which device converts mechanical energy into electrical energy? | Motor | Generator | Battery | Transistor | B
The SI unit of work is? | Newton | Joule | Watt | Pascal | B
What is the unit of frequency? | Second | Hertz | Meter | Ampere | B
Which material is a good conductor of electricity? | Rubber | Plastic | Copper | Wood | C
What happens to pressure as depth increases in a fluid? | Decreases | Increases | Same | Zero | B
The bending of light as it passes between media is called? | Reflection | Diffraction | Refraction | Dispersion | C
Which part of the atom contains protons and neutrons? | Electron cloud | Nucleus | Shell | Orbit | B
What type of energy is possessed by a moving object? | Potential | Kinetic | Thermal | Nuclear | B
The resistance of a conductor depends on its? | Color | Length and area | Weight | Temperature only | B
What is used to focus light in a camera? | Concave lens | Convex lens | Plane mirror | Concave mirror | B
The device used to measure potential difference? | Voltmeter | Ammeter | Galvanometer | Thermometer | A
Which phenomenon makes the sky appear blue? | Reflection | Scattering | Refraction | Diffraction | B
Energy cannot be created or destroyed. This is the law of? | Conservation | Thermodynamics | Motion | Gravitation | A
Which process converts water into steam? | Condensation | Evaporation | Sublimation | Fusion | B
What is the SI unit of temperature? | Degree | Fahrenheit | Kelvin | Celsius | C
In a vacuum, sound travels at? | 0 m/s | 330 m/s | 1500 m/s | 3000 m/s | A
Which law explains the relationship between voltage, current, and resistance? | Ohm Law | Faraday Law | Newton Law | Hooke Law | A
